Keys,English,Français
uti_name_006,Moon Piece,Morceau de Lune
uti_name_007,Bandages,Bandages
uti_name_008,Medicinal Herb,Herbe Médicinale
uti_name_009,Blood Vial,Fiole de Sang
uti_name_010,Yrgvonian Potion,Potion Yrgvonienne
uti_name_011,Gishanu Rice,Riz de Gishanu
uti_name_012,Klimagno Potion,Potion de Klimagno
uti_name_013,Mana Pot,Jarre de Mana
uti_name_014,Jornadel Jug,Carafe de Jornadel
uti_name_015,Grinalite Nugget,Pépite de Grinalite
uti_name_016,Buratite Crystal,Crystal de Buratite
uti_name_017,Kirolitium Nodule,Nodule de Kirolitium
uti_name_018,Rune Crest,Blason de Rune
uti_name_019,Soul Fragment,Fragment d'Âme
uti_name_020,Oil Pot,Jarre d'Huile
uti_name_021,Explosive Pot,Jarre Explosive
uti_name_022,Electric Pot,Jarre Électrique
uti_name_023,Throwing Dagger,Dague de Lancer
uti_name_024,Throwing Kukri,Kukri de Lancer
uti_desc_000_003,"Grants {0} Shards.

Before the Shards, the value of exchange had been lost underground, and humanity found itself lost.","Donne {0} Éclats.

Avant les Éclats, la valeur de l'échange avait été enterrée et l'humanité se voyait perdue."
uti_desc_004_006,"Grants {0} Moonlight Echoes.

Even though the Firrelins are considered demons on Earth, with them came the blessing that allows us to fortify our bodies and spirits.","Donne {0} Reflets de Lumière Sélène.

Bien que les Firrelins soient considérés comme des démons sur Terre, avec eux vint la bénédiction nous permettant de fortifier nos corps et nos esprits."
uti_desc_007,"Restores a little of life.

Bindings stop bleeding and hold back pain, giving the illusion of well-being, even with the wound still open.","Restaure un peu de vie.

Ces liens arrêtent le saignement et effacent la douleur, donnant l'illusion de la santé même avec une blessure ouverte."
uti_desc_008,"Restores life.

The wisdom of intelligent races has always included the use of certain herbs to treat wounds, something that in combat can change the course of a dispute.","Restaure la vie.

La sagesse des races intelligentes a toujours inclus l'usage de certaines herbes pour traiter les blessures, ce qui peut chqnger l'issue d'un combat."
uti_desc_009,"Restores part of life.

Many cultures worship blood, believing it to be capable of restoring the body's constitution.","Restaure partiellement la vie.

De nombreuses cultures vénèrent le sang, le croyant capable de restaurer la constitution du corps."
uti_desc_010,"Restores a lot of life.

A potion made for centuries by Yrgvonia, one of the ancient kingdoms of humanity, destroyed by the Firrelins.","Restaure grandement la vie.

Une potion concoctée depuis des siècles par l'Yrgvonie, un des anciens royaumes humains, détruit par les Firrelins."
uti_desc_011,Restores a large portion of health.,Restaure une grande partie de la vie.
uti_desc_012,Restores a portion of mana.,Restaure partiellement le mana.
uti_desc_013,Restores a large amount of mana.,Restaure une grande partie du mana.
uti_desc_014,Restores mana completely.,Restaure entièrement le mana.
uti_desc_015,Reforges common weapons up to +4.,Reforge les armes communes jusqu'à +4.
uti_desc_016,Reforges mystical weapons up to +4.,Reforge les armes mystiques jusqu'à +4.
uti_desc_017,Reforges weapons to their maximum level.,Reforge les armes à leur niveau maximal.
uti_desc_018,Returns the team to the last Jernika's Shrine they rested at.,Ramène l'équipe au dernier Autel de Jernika visité.
uti_desc_019,Revives a dead team member.,Ressuscite un membre d'équipe.
uti_desc_020,"Coats the enemy in oil for 4 turns, decreasing their fire resistance.","Couvre l'ennemi d'huile pour 4 tours, diminuant leur résistance au feu."
uti_desc_021,Deals fire damage to enemies.,Inflige des dégâts de feu aux ennemis.
uti_desc_022,Deals electric damage to enemies.,Inflige des dégâts électriques aux ennemis.
uti_desc_023,Deals physical damage and slight posture damage to enemies.,Inflige des dégâts physiques aux ennemis et endommage légèrement leur posture.
uti_desc_024,Deals physical damage and bleeding to enemies.,Inflige des dégâts physiques et de saignement aux ennemis.
arm_name_000,Warrior Armor,Armure de Guerrier
arm_name_001,Ashen Armor,Armure des Cendres
arm_name_002,Guardian Armor,Armure de Gardien
arm_name_003,Necromancer Armor,Armure de Nécromancien
arm_name_004,Feather Armor,Armure de Plumes
arm_name_005,Count's Armor,Armure du Comte
arm_name_006,Crimson Plates,Plaques Écarlates
arm_name_007,Stone Plates,Plaques de Pierre
arm_name_008,Bear Cloak,Cape de l'Ours
arm_name_009,Hunting Cloak,Cape de Chasse
arm_name_010,Black Cloak,Cape Noire
arm_name_011,Pale Cloak,Cape Pâle
arm_name_012,Ancestral Wings,Ailes Ancestrales
arm_name_013,Bone Cuirass,Cuirasse d'Os
arm_name_014,Devastated Cuirass,Cuirasse Dévastée
arm_name_015,Ram's Cuirass,Cuirasse du Bélier
arm_name_016,Deacon's Robes,Robe de Diacre
arm_name_017,Plague Robes,Robe de la Peste
arm_name_018,Stalker's Robes,Robe du Rôdeur
arm_name_019,Western Robes,Robe Occidentale
arm_name_020,Shadow Garb,Habit des Ombres
arm_name_021,Mountain Garb,Habit Montagnard
arm_name_022,Old Rags,Vieilles Guenilles
arm_name_023,Mountain Tunic,Tunique Montagnarde
arm_name_024,Explorer's Tunic,Tunique de l'Explorateur
arm_name_025,Mist Tunic,Tunique des Brumes
arm_desc_000,"Few survive combat without good protection, only almost mythical warriors can do so. There are reports of such figures throughout history, and facing them is seen as a rare honor.","Peu survivent au combat sans une bonne protection, hormis les guerriers quasi-mythiques. Les récits de telles figures traversent l'Histoire, et les rencontrer est un rare honneur."
arm_desc_001,,
arm_desc_002,,
arm_desc_003,,
arm_desc_004,,
arm_desc_005,,
arm_desc_006,,
arm_desc_007,,
arm_desc_008,,
arm_desc_009,,
arm_desc_010,,
arm_desc_011,,
arm_desc_012,,
arm_desc_013,,
arm_desc_014,,
arm_desc_015,,
arm_desc_016,,
arm_desc_017,,
arm_desc_018,,
arm_desc_019,,
arm_desc_020,,
arm_desc_021,,
arm_desc_022,,
arm_desc_023,,
arm_desc_024,,
arm_desc_025,,
wea_name_000,Assassin Dagger,Dague d'Assassin
wea_name_001,Aquamarine Dagger,Dague d'Aigue-Marine
wea_name_002,Nebulous Dagger,Dague Nébuleuse
wea_name_003,Damascenus,Damascenus
wea_name_004,Broken Sword,Épée Brisée
wea_name_005,Long Sword,Épée Longue
wea_name_006,Obsidian Sword,Épée d'Obsidienne
wea_name_007,Cursed Sword,Épée Maudite
wea_name_008,Bloodstained Axe,Hache Ensanglantée
wea_name_009,Tidebreaker,Brise-Marée
wea_name_010,Halberd of Honor,Hallebarde d'Honneur
wea_name_011,Funeral Halberd,Hallebarde Funéraire
wea_name_012,Ring Bracelet,Bracelet d'Anneaux
wea_name_013,Iron Gauntlets,Gants de Fer
wea_name_014,Wooden Staff,Bâton de Bois
wea_name_015,Arcane Scepter,Sceptre Arcanique
wea_name_016,Cerulean Staff,Bâton Céruléen
wea_name_017,Sacred Beads,Billes Sacrées
wea_name_018,Blood Vessel,Réceptacle de Sang
wea_name_019,Wooden Bow,Arc de Bois
wea_name_020,Harp Bow,Arc-Harpe
wea_name_021,Parrying Shield,Bocle
wea_name_022,Crest Shield,Écusson
wea_desc_000,,
wea_desc_001,,
wea_desc_002,,
wea_desc_003,,
wea_desc_004,,
wea_desc_005,"Warriors of the West follow an ancient custom. After gaining experience, they seek out a certain rite that grants them something special.","Les guerriers Occidentaux suivent une ancienne coutume ; après avoir gagné en expérience, ils procèdent à un rituel leur accordant quelque chose de spécial."
wea_desc_006,,
wea_desc_007,,
wea_desc_008,"It is said that barbarians have unusual strength and perhaps a common origin with the Fomludes, who disappeared shortly before their emergence.","On dit que les barbares possèdent une force inhabituelle et peut-être une origine commune avec les Fomludes, disparus peu après leur émergence."
wea_desc_009,,
wea_desc_010,,
wea_desc_011,,
wea_desc_012,,
wea_desc_013,,
wea_desc_014,,
wea_desc_015,,
wea_desc_016,,
wea_desc_017,,
wea_desc_018,,
wea_desc_019,,
wea_desc_020,,
wea_desc_021,,
wea_desc_022,,
ski_name_000,,
ski_desc_000,,
spe_name_000,,
spe_desc_000,,
cha_name_000,Belt of Bravery,Ceinture du Courage
cha_name_001,Gold Necklace,Collier en Or
cha_name_002,Bronze Necklace,Collier en Bronze
cha_name_003,Hardened Heart,Cœur Hardi
cha_name_004,Engraved Stone,Pierre Gravée
cha_name_005,Gishanu Miniature,Figurine de Gishanu
cha_name_006,Hunter's Bone,Os de Chasseur
cha_name_007,Lineage Tanto,Tanto de Lignée
cha_name_008,Stone Shield,Bouclier de Pierre
cha_name_009,Agate Pendant,Pendentif d'Agate
cha_name_010,Topaz Pendant,Pendentif de Topaze
cha_name_011,Opal Pendant,Pendentif d'Opale
cha_name_012,Agate Amulet,Amulette d'Agate
cha_name_013,Citrine Amulet,Amulette de Citrine
cha_name_014,Amethyst Keepsake,Souvenir en Améthyste
cha_name_015,Lunar Totem,Totem Lunaire
cha_name_016,Loot Bag,Sac à Butin
cha_name_017,Eye of Greed,Œil de la Cupidité
cha_desc_000,Greatly increases attack power.,Augmente grandment la puissance d'attaque.
cha_desc_001,Increases spell power.,Augmente la puissance des sorts.
cha_desc_002,Increases miracle power.,Augmente la puissance des miracles
cha_desc_003,"Increases defense as more hits are landed during battle, up to a certain limit.","Augmente la défense à chaque coup porté, jusqu'à une certaine limite."
cha_desc_004,"Increases attack power as more hits are landed during battle, up to a certain limit.","Augmente la puissance d'attaque à chaque coup porté, jusqu'à une certaine limite."
cha_desc_005,Increases fist attack power.,Augmente grandment la puissance d'attaque des poings.
cha_desc_006,Increases ranged attack power.,Augmente grandment la puissance des attaques à distance.
cha_desc_007,Improves evasion.,Augmente l'esquive.
cha_desc_008,Improves damage absorption from blocking.,Augmente l'absorption des dégâts du blocage.
cha_desc_009,Improves physical defense.,Augmente la défense physique.
cha_desc_010,Improves magic defense.,Augmente la défense magique.
cha_desc_011,Improves flame defense.,Augmente la résistance aux flammes.
cha_desc_012,Greatly improves physical defense.,Augmente grandement la défense physique.
cha_desc_013,Greatly improves electric defense.,Augmente grandement la résistance électrique.
cha_desc_014,Improves elemental resistance.,Augmente la résistance aux éléments.
cha_desc_015,Increases the acquisition of Moonlight Echoes.,Augmente l'acquisition des Reflets de Lumière Sélène.
cha_desc_016,Increases the acquisition of Shards.,Augmente l'acquisition des Éclats.
cha_desc_017,Increases item discovery.,Augmente la découverte d'objets.
tal_name_000,Thorn Bracelet,Bracelet à Épines
tal_name_001,Frost Axe Talisman,Talisman d'Hache Gelée
tal_name_002,Blood Vessel,Réceptacle de Sang
tal_name_003,Rag Doll,Poupée de Chiffon
tal_name_004,Black Herb,Herbe Noire
tal_name_005,Corrupted Orb,Orbe Corrompu
tal_name_006,Punishment and Remorse,Châtiment et Remord
tal_name_007,Serpentine Talisman,Talisman Ophidien
tal_name_008,Triple Wood Ring,Anneau de Trois Bois
tal_desc_000,"Increases damage dealt, but also increases damage received.",Augmente les dégâts ingligés mais également les dégâts subis.
tal_desc_001,"Increases freezing power, but decreases resistance to fire damage.",Augmente la puissance de congélation mais diminue la résistance au feu.
tal_desc_002,"Strengthens attacks in the first 2 turns, but reduces defense in subsequent turns.","Améliore les attaques des deux premiers tours, mais réduit la défense pour les tours suivants."
tal_desc_003,"Increases the group's defense per member, but decreases damage dealt per member.",Augmente la défense des membres du groupe mais diminue les dégâts qu'ils infligent.
tal_desc_004,"Increases the effectiveness of healing items, but reduces maximum mana.",Augmente l'efficacité des soins mais réduit le mana maximum.
tal_desc_005,"Increases spell power, but increases casting cost.",Augmente la puissance des sorts et leur coût.
tal_desc_006,"Strengthens attacks on enemies with full health, but weakens attacks on enemies with low health.",Améliore les attaques contre les ennemis en pleine santé mais diminue les dégâts contre les ennemis à la santé basse.
tal_desc_007,"Poisoned enemies take more damage, but they also deal more damage.",Les ennemis empoisonnés subissent plus de dégâts mais infligent plus de dégâts.
tal_desc_008,"Doubles the power of healing effects, but they are divided equally among all group members.",Double la puissance des effets de soin mais les divisent équitablement entre les membres du groupe.
run_name_000,Hateful Ambush,Embuscade Haineuse
run_name_001,Jernika's Mercy,Clémence de Jernika
run_name_002,Immediate Retribution,Rétribution Immédiate
run_name_003,Bloody Spoils,Butin Ensanglanté
run_name_004,Eminent Fury,Furie Éminente
run_name_005,Mystic Lottery,Loterie Mystique
run_desc_000,Initiating combat by attacking deals double damage.,Initier le combat par une attaque double les dégâts.
run_desc_001,Grants the power to survive a deadly attack once. Restores when resting at a Jernika's Sanctuary.,Permet de survivre une fois à une attaque mortelle. Se régénère aux Sanctuaires de Jernika.
run_desc_002,Instantly counterattacks the last enemy that attacked you with your strongest weapon if the enemy's damage is greater than yours.,Contre-attaque immédiatement avec l'arme la plus puissante si les dégâts de l'ennemi sont supérieurs aux vôtres.
run_desc_003,Grants Shards when landing a critical hit.,Donne des Éclats lorsqu'un coup critique est infligé.
run_desc_004,Passing your turn grants damage increase on your next turn.,Passer votre tour augmente les dégâts du prochain tour.
run_desc_005,Chance for spells to cost only half their mana cost.,Les sorts ont une chance de voir leur coût diminué de moitié.
amm_name_000,Wooden Arrow,Flèche en Bois
amm_name_001,Feather Arrow,Flèche à Plumes
amm_name_002,Arrow,Flèche
amm_name_003,Magic Arrow,Flèche Magique
amm_name_004,Flaming Arrow,Flèche Enflammée
amm_name_005,Explosive Arrow,Flèche Explosive
amm_name_006,Electric Arrow,Flèche Électrique
amm_desc_000,Arrow made of wood.,Une flèche faite de bois.
amm_desc_001,Arrow decorated with feathers.,Une flèche ornée de plumes.
amm_desc_002,Arrow with an iron-forged tip.,Une flèche à la pointe en fer forgé.
amm_desc_003,Arrow bathed in magical power.,Une flèche imprégnée de puissance magique.
amm_desc_004,Arrow bathed in mystical oil that never stops burning.,Une flèche couverte d'huile mystique brûlant éternellement.
amm_desc_005,Arrow with gunpowder stuck to its tip.,Une flèche avec de la poudre à canon attachée à sa pointe.
amm_desc_006,Arrow bathed in electric power.,Une flèche imprégnée de puissance électrique.
prologue_000,Our people lived in prosperity. There were no difficulties or wars.,Notre peuple vivait dans la prospérité. Il n'y avait ni difficultés ni guerres.
prologue_001,"Until one day, or should I say one night, everything changed.","Jusqu'à ce qu'un jour, ou devrais-je dire une nuit, tout changea."
prologue_002,"Our cerulean starry sky began to move rapidly, and then, it seemed, to fall.","Nos cieux étoilés commencèrent à se mouvoir rapidement, puis, semble-t-il, à s'effondrer."
prologue_003,"Strange beings, called Firrelins, emerged from those monstrous craters and suddenly began to attack us.","Des êtres étranges, appelés Firrelins, émergèrent de ces monstrueux cratères et nous attaquèrent soudainement."
prologue_004,"Soon, the largest, supposedly star, fell and formed the largest crater, and a proportionally gigantic creature emerged from it.","Bientôt, la plus grande de ces semblants d'étoiles tomba et forma le plus large des cratères, dont émergea une toute aussi gigantesque créature."
prologue_005,"We nicknamed it Vehord, the Lupine Lord.","Il fut surnommé Vehord, le Seigneur Lupin."
prologue_006,That monstrous wolf apparently commanded the smaller creatures. And the whole attack only got worse...,Ce loup monstrueux semblait commander aux autres créatures. Et les attaques empirèrent...
prologue_007,"As our only choice, we hid underground on our planet.",Notre seul choix fut de nous enfuir sous terre.
prologue_008,"It soon became clear that the interior of the Earth was magically indestructible to the stellar beings, but still capable of being invaded, however arduously...","Il devient bientôt clair que l'intérieur de la Terre était magiquement protégée contre la destruction apportée par les êtres stellaires, mais pouvait toujours être envahie, bien que difficilement..."
prologue_009,"Over time, exploring that new world, we were shown everything the world hid.","Le temps passant, à force d'explorations, nous découvrîmes tout ce que le monde recelait."
prologue_010,"Magic, sophisticated engineering, other races like us, and even the gods, though most were far from their full potential or dead.","Magie, ingénierie sophistiquée, races similaires à la nôtre et même les dieux, bien que nombre d'entre eux étaient loin de leur plein potentiel, voire morts."
prologue_011,"We joined forces with the other beings, and over time, we established our own societies and kingdoms.","Nous joignîmes nos forces à celles des habitants des profondeurs et, au fil du temps, nous établîmes nos propres sociétés et royaumes."
prologue_012,"And now, we have special troops called Moonlight Travelers, who explore the entire underground in search of resources and to improve themselves","Désormais nous avons nos propres troupes spéciales : les Voyageurs du Clair de Lune, qui explorent le monde souterrain à la recherche de resources et de leur propre accomplissement."
prologue_013,"So that, when they are together, they can cross the barrier that separates the underground from the surface and face Vehord, and any other Cerulean Lords...","De telle sorte que, réunis, ils peuvent traverser la barrière nous séparant du monde d'en-haut pour faire face à Vehord et tous les Seigneurs Céruléens..."
prologue_014,"So that one day, we may return to the vast kingdom that was taken from us.","Afin qu'un jour, nous puissions retourner au vaste royaume qui nous fut enlevé."
npc_000_dia_000,But you already know that story...,"Mais cette histoire, tu la connais déjà..."
